title,text,subject,date,label
"Moon to Explode Due to Solar Flares, Say Scientists",Fake claims that the Moon will explode in 2025 due to solar flares have been circulating. NASA officials have denied any such event.,science,2024-02-13,0
Exams Cancelled Forever by Education Board,Fake news states that all Indian board and university exams have been permanently cancelled. The Ministry of Education clarified it’s misinformation.,technology,2023-03-22,0
AI Can Now Predict Your Death with 99% Accuracy,A rumor claims a new app uses AI and phone usage data to predict when a person will die. No such tool has been scientifically validated.,technology,2023-10-04,0
AI Can Now Predict Your Death with 99% Accuracy,A rumor claims a new app uses AI and phone usage data to predict when a person will die. No such tool has been scientifically validated.,education,2024-07-30,0
Government Approves ₹1 Lakh Monthly for All Citizens,A viral WhatsApp message suggests that the Indian government will deposit ₹1 lakh per month into every citizen’s account. Authorities have called it a hoax.,politics,2024-06-29,0
Exams Cancelled Forever by Education Board,Fake news states that all Indian board and university exams have been permanently cancelled. The Ministry of Education clarified it’s misinformation.,education,2024-11-29,0
"Moon to Explode Due to Solar Flares, Say Scientists",Fake claims that the Moon will explode in 2025 due to solar flares have been circulating. NASA officials have denied any such event.,politics,2023-08-06,0
Elon Musk to Move Tesla HQ to Mars by 2026,Viral online posts claim that Elon Musk plans to move Tesla’s headquarters to Mars. No official confirmation exists.,science,2024-12-01,0
"Moon to Explode Due to Solar Flares, Say Scientists",Fake claims that the Moon will explode in 2025 due to solar flares have been circulating. NASA officials have denied any such event.,technology,2024-05-10,0
AI Can Now Predict Your Death with 99% Accuracy,A rumor claims a new app uses AI and phone usage data to predict when a person will die. No such tool has been scientifically validated.,economy,2024-10-23,0
Government Approves ₹1 Lakh Monthly for All Citizens,A viral WhatsApp message suggests that the Indian government will deposit ₹1 lakh per month into every citizen’s account. Authorities have called it a hoax.,politics,2024-12-27,0
Elon Musk to Move Tesla HQ to Mars by 2026,Viral online posts claim that Elon Musk plans to move Tesla’s headquarters to Mars. No official confirmation exists.,health,2023-10-03,0
"Moon to Explode Due to Solar Flares, Say Scientists",Fake claims that the Moon will explode in 2025 due to solar flares have been circulating. NASA officials have denied any such event.,technology,2024-06-14,0
Elon Musk to Move Tesla HQ to Mars by 2026,Viral online posts claim that Elon Musk plans to move Tesla’s headquarters to Mars. No official confirmation exists.,politics,2023-09-13,0
Exams Cancelled Forever by Education Board,Fake news states that all Indian board and university exams have been permanently cancelled. The Ministry of Education clarified it’s misinformation.,economy,2023-09-28,0
AI Can Now Predict Your Death with 99% Accuracy,A rumor claims a new app uses AI and phone usage data to predict when a person will die. No such tool has been scientifically validated.,science,2023-09-04,0
AI Can Now Predict Your Death with 99% Accuracy,A rumor claims a new app uses AI and phone usage data to predict when a person will die. No such tool has been scientifically validated.,politics,2023-07-02,0
"Moon to Explode Due to Solar Flares, Say Scientists",Fake claims that the Moon will explode in 2025 due to solar flares have been circulating. NASA officials have denied any such event.,science,2023-01-15,0
Government Approves ₹1 Lakh Monthly for All Citizens,A viral WhatsApp message suggests that the Indian government will deposit ₹1 lakh per month into every citizen’s account. Authorities have called it a hoax.,politics,2023-11-17,0
Government Approves ₹1 Lakh Monthly for All Citizens,A viral WhatsApp message suggests that the Indian government will deposit ₹1 lakh per month into every citizen’s account. Authorities have called it a hoax.,education,2023-07-14,0
Government Approves ₹1 Lakh Monthly for All Citizens,A viral WhatsApp message suggests that the Indian government will deposit ₹1 lakh per month into every citizen’s account. Authorities have called it a hoax.,economy,2024-11-30,0
AI Can Now Predict Your Death with 99% Accuracy,A rumor claims a new app uses AI and phone usage data to predict when a person will die. No such tool has been scientifically validated.,science,2023-07-21,0
"Moon to Explode Due to Solar Flares, Say Scientists",Fake claims that the Moon will explode in 2025 due to solar flares have been circulating. NASA officials have denied any such event.,technology,2023-12-13,0
Elon Musk to Move Tesla HQ to Mars by 2026,Viral online posts claim that Elon Musk plans to move Tesla’s headquarters to Mars. No official confirmation exists.,politics,2024-10-22,0
AI Can Now Predict Your Death with 99% Accuracy,A rumor claims a new app uses AI and phone usage data to predict when a person will die. No such tool has been scientifically validated.,technology,2023-07-04,0
Elon Musk to Move Tesla HQ to Mars by 2026,Viral online posts claim that Elon Musk plans to move Tesla’s headquarters to Mars. No official confirmation exists.,economy,2024-08-04,0
Exams Cancelled Forever by Education Board,Fake news states that all Indian board and university exams have been permanently cancelled. The Ministry of Education clarified it’s misinformation.,economy,2024-06-18,0
"Moon to Explode Due to Solar Flares, Say Scientists",Fake claims that the Moon will explode in 2025 due to solar flares have been circulating. NASA officials have denied any such event.,education,2024-09-04,0
Elon Musk to Move Tesla HQ to Mars by 2026,Viral online posts claim that Elon Musk plans to move Tesla’s headquarters to Mars. No official confirmation exists.,health,2024-03-05,0
Government Approves ₹1 Lakh Monthly for All Citizens,A viral WhatsApp message suggests that the Indian government will deposit ₹1 lakh per month into every citizen’s account. Authorities have called it a hoax.,health,2024-08-26,0
Exams Cancelled Forever by Education Board,Fake news states that all Indian board and university exams have been permanently cancelled. The Ministry of Education clarified it’s misinformation.,politics,2024-06-21,0
Government Approves ₹1 Lakh Monthly for All Citizens,A viral WhatsApp message suggests that the Indian government will deposit ₹1 lakh per month into every citizen’s account. Authorities have called it a hoax.,science,2023-07-29,0
